Number,Neighborhood,Per Capita Income - BRL,IDH-L,IDH-E,IDH-R,IDH
1,Gávea,2139,924.0,987.0,1000.0,0970
2,Leblon,2441,908.0,993.0,1000.0,0967
3,Jardim Guanabara,1316,924.0,993.0,972.0,0963
4,Ipanema,2465,895.0,992.0,1000.0,0962
5,Lagoa,2955,882.0,996.0,1000.0,0959
6,Flamengo,1781,882.0,995.0,1000.0,0959
7,Humaitá,1830,882.0,995.0,1000.0,0959
8,Barra da Tijuca,2488,881.0,996.0,1000.0,0959
8, Joá,2488,881.0,996.0,1000.0,0959
9,Laranjeiras,1679,881.0,992.0,1000.0,0957
10,Jardim Botânico,1952,881.0,991.0,1000.0,0957
11,Copacabana,1623,880.0,990.0,1000.0,0956
12,Leme,1713,875.0,992.0,1000.0,0955
13,Botafogo,1376,888.0,990.0,979.0,0952
13, Urca,1376,888.0,990.0,979.0,0952
14,Maracanã,1206,882.0,993.0,957.0,0944
15,Glória,1183,873.0,994.0,954.0,0940
16,Méier,1000,873.0,993.0,926.0,0931
17,Tijuca,1204,834.0,987.0,957.0,0926
17, Alto da Boa Vista,1204,834.0,987.0,957.0,0926
18,Todos os Santos,825,882.0,990.0,894.0,0922
19,Anil,768,869.0,982.0,882.0,0911
20,Vila da Penha,669,877.0,992.0,859.0,0909
21,Andaraí,897,833.0,987.0,908.0,0909
22,Riachuelo,715,857.0,989.0,870.0,0905
23,Campinho,684,875.0,975.0,863.0,0904
23, Vila Valqueire,684,875.0,975.0,863.0,0904
24,Moneró,730,857.0,981.0,873.0,0904
24, Portuguesa,730,857.0,981.0,873.0,0904
25,Catete,822,833.0,978.0,893.0,0901
26,Vila Isabel,931,808.0,981.0,914.0,0901
27,Cachambi,709,845.0,988.0,868.0,0900
28,Pechincha,751,844.0,978.0,878.0,0900
29,Freguesia,766,834.0,979.0,882.0,0898
30,Recreio dos Bandeirantes,1166,793.0,939.0,952.0,0894
30, Grumari,1166,793.0,939.0,952.0,0894
31,Centro,633,852.0,981.0,850.0,0894
31, Lapa,633,852.0,981.0,850.0,0894
32,Higienópolis,614,818.0,983.0,845.0,0882
33,Santa Teresa,701,818.0,950.0,867.0,0878
33, Cosme Velho,701,818.0,950.0,867.0,0878
34,Água Santa,496,853.0,969.0,809.0,0877
34, Encantado,496,853.0,969.0,809.0,0877
35,Taquara,544,853.0,951.0,824.0,0876
36,Vila Kosmos,498,870.0,949.0,810.0,0876
37,Vidigal,1131,769.0,905.0,946.0,0873
37, São Conrado,1131,769.0,905.0,946.0,0873
38,Cidade Nova,640,784.0,965.0,851.0,0867
38, Praça da Bandeira,640,784.0,965.0,851.0,0867
39,Bonsucesso,552,828.0,928.0,827.0,0861
40,Cocotá,518,818.0,949.0,816.0,0861
40, Bancários,518,818.0,949.0,816.0,0861
41,Maria da Graça,505,794.0,974.0,812.0,0860
41, Del Castilho,505,794.0,974.0,812.0,0860
42,Ribeira,527,797.0,961.0,819.0,0859
42, Cacuia,527,797.0,961.0,819.0,0859
43,Lins de Vasconcelos,583,795.0,945.0,836.0,0859
44,Engenho Novo,573,789.0,953.0,833.0,0858
45,Zumbi,517,809.0,950.0,816.0,0858
45, Pitangueiras,517,809.0,950.0,816.0,0858
45, Praia da Bandeira,517,809.0,950.0,816.0,0858
46,Ramos,508,816.0,943.0,813.0,0857
47,Engenho de Dentro,536,794.0,954.0,822.0,0857
48,Abolição,467,805.0,966.0,799.0,0857
49,Deodoro,462,810.0,963.0,797.0,0856
49, Vila Militar,462,810.0,963.0,797.0,0856
49, Campo dos Afonsos,462,810.0,963.0,797.0,0856
50,Jardim Sulacap,1134,888.0,989.0,957.0,0944
51,Oswaldo Cruz,441,810.0,965.0,789.0,0855
52,Olaria,460,814.0,949.0,796.0,0853
53,Bento Ribeiro,399,834.0,947.0,773.0,0851
54,Piedade,447,794.0,966.0,792.0,0850
55,Quintino Bocaiúva,424,815.0,952.0,783.0,0850
56,Rio Comprido,590,755.0,955.0,838.0,0849
57,Praça Seca,498,778.0,947.0,810.0,0845
—,Rio de Janeiro,n,754.0,933.0,840.0,"0,842[2]"
58,Jardim América,426,794.0,939.0,783.0,0839
59,Jacaré,513,761.0,941.0,815.0,0839
59, Rocha,513,761.0,941.0,815.0,0839
59, Sampaio,513,761.0,941.0,815.0,0839
60,Freguesia,557,755.0,933.0,828.0,0839
61,Jardim Carioca,436,794.0,927.0,787.0,0836
62,Engenho da Rainha,362,806.0,944.0,757.0,0835
63,Brás de Pina,397,794.0,938.0,772.0,0835
64,São Cristóvão,412,788.0,933.0,778.0,0833
64, Vasco da Gama,412,788.0,933.0,778.0,0833
65,Cascadura,428,786.0,928.0,785.0,0833
66,Parque Anchieta,355,812.0,933.0,753.0,0833
67,Madureira,419,766.0,947.0,781.0,0831
68,Pilares,389,793.0,932.0,769.0,0831
69,Tanque,439,775.0,929.0,789.0,0831
70,Estácio,413,812.0,897.0,778.0,0829
71,Curicica,362,793.0,935.0,757.0,0828
72,Penha Circular,444,769.0,919.0,791.0,0826
73,Benfica,376,810.0,901.0,763.0,0825
74,Paquetá,457,818.0,854.0,795.0,0822
75,Itanhangá,650,755.0,857.0,854.0,0822
76,Tauá,416,771.0,901.0,780.0,0817
—,Região Metropolitana do Rio de Janeiro,n,,,,"0,816[3]"
77,Rocha Miranda,338,766.0,934.0,745.0,0815
78,Marechal Hermes,366,752.0,933.0,758.0,0814
79,Turiaçu,336,752.0,940.0,744.0,0812
80,Guadalupe,336,752.0,934.0,744.0,0810
81,Inhaúma,324,761.0,931.0,738.0,0810
82,Campo Grande,351,747.0,931.0,751.0,0810
83,Cavalcanti,328,757.0,924.0,740.0,0807
83, Engenheiro Leal,328,757.0,924.0,740.0,0807
83, Vaz Lobo,328,757.0,924.0,740.0,0807
84,Ricardo de Albuquerque,283,766.0,940.0,715.0,0807
—,Rio de Janeiro,n,,,,"0,807[4]"
85,Coelho Neto,299,764.0,928.0,725.0,0806
86,Padre Miguel,313,752.0,929.0,732.0,0804
87,Penha,373,743.0,908.0,761.0,0804
88,Honório Gurgel,303,748.0,937.0,727.0,0804
89,Realengo,316,744.0,931.0,734.0,0803
90,Senador Vasconcelos,302,745.0,935.0,726.0,0802
91,Tomás Coelho,325,748.0,919.0,739.0,0802
92,Magalhães Bastos,318,732.0,939.0,735.0,0802
93,Catumbi,324,743.0,923.0,738.0,0802
94,Mangueira,357,722.0,923.0,754.0,0800
94, São Francisco Xavier,357,722.0,923.0,754.0,0800
—,Brasil,n,,,,"0,800[c]"
95,Vista Alegre,473,630.0,964.0,801.0,0798
95, Irajá,473,630.0,964.0,801.0,0798
96,Bangu,296,746.0,913.0,723.0,0794
97,Saúde,320,755.0,886.0,736.0,0792
97, Gamboa,320,755.0,886.0,736.0,0792
97, Santo Cristo,320,755.0,886.0,736.0,0792
98,Cordovil,290,722.0,932.0,720.0,0791
99,Pavuna,286,738.0,915.0,717.0,0790
100,Anchieta,278,732.0,920.0,712.0,0788
101,Santíssimo,256,739.0,903.0,698.0,0780
102,Galeão,300,713.0,895.0,725.0,0778
102, Cidade Universitária,300,713.0,895.0,725.0,0778
103,Vicente de Carvalho,296,709.0,887.0,723.0,0773
104,Jacarepaguá,331,709.0,858.0,742.0,0769
105,Senador Camará,251,707.0,903.0,695.0,0768
106,Gardênia Azul,274,713.0,880.0,710.0,0768
107,Vigário Geral,296,694.0,873.0,723.0,0763
108,Colégio,262,706.0,878.0,703.0,0762
109,Sepetiba,264,688.0,890.0,704.0,0761
110,Cosmos,205,709.0,906.0,662.0,0759
111,Caju,236,732.0,843.0,685.0,0753
112,Paciência,203,694.0,899.0,660.0,0751
113,Cidade de Deus,207,694.0,894.0,663.0,0751
114,Barros Filho,198,694.0,898.0,656.0,0750
115,Inhoaíba,207,683.0,895.0,663.0,0747
116,Camorim,279,688.0,836.0,713.0,0746
116, Vargem Pequena,279,688.0,836.0,713.0,0746
116, Vargem Grande,279,688.0,836.0,713.0,0746
117,Parada de Lucas,220,672.0,890.0,673.0,0745
118,Guaratiba,234,694.0,853.0,684.0,0744
118, Barra de Guaratiba,234,694.0,853.0,684.0,0744
118, Pedra de Guaratiba,234,694.0,853.0,684.0,0744
119,Santa Cruz,206,675.0,887.0,662.0,0742
120,Rocinha,219,706.0,818.0,673.0,0732
121,Jacarezinho,177,688.0,867.0,638.0,0731
122,Manguinhos,188,688.0,842.0,648.0,0726
123,Maré,187,693.0,826.0,646.0,0722
124,Acari,174,649.0,876.0,634.0,0720
124, Parque Colúmbia,174,649.0,876.0,634.0,0720
125,Costa Barros,175,649.0,856.0,635.0,0713
126,Complexo do Alemão,177,663.0,834.0,637.0,0700
