Number,Neighborhood,Per Capita Income - BRL,IDH-L,IDH-E,IDH-R,IDH,Address,location,point,latitude,longitude,altitude,Zones,Cluster Labels
2,Jardim Guanabara,1316.0,92.4,99.3,97.2,96.3,"Jardim Guanabara, Rio de Janeiro, Brazil","Jardim Guanabara, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8128362, -43.2007792, 0.0)",-22.8128362,-43.2007792,0.0,North,0
13,Botafogo,1376.0,88.8,99.0,97.9,95.2,"Botafogo, Rio de Janeiro, Brazil","Botafogo de Futebol e Regatas, Avenida Repórter Nestor Moreira, Botafogo, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22290-210, Brasil","(-22.948844649999998, -43.17982909625297, 0.0)",-22.94884465,-43.179829096252966,0.0,South,0
14, Urca,1376.0,88.8,99.0,97.9,95.2," Urca, Rio de Janeiro, Brazil","Urca, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.954074, -43.1679727, 0.0)",-22.954074,-43.1679727,0.0,South,0
15,Maracanã,1206.0,88.2,99.3,95.7,94.4,"Maracanã, Rio de Janeiro, Brazil","Maracanã, Avenida Presidente Castelo Branco, Maracanã, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20271-130, Brasil","(-22.912091949999997, -43.23114540590559, 0.0)",-22.91209195,-43.23114540590559,0.0,North,0
67,Jardim Sulacap,1134.0,88.8,98.9,95.7,94.4,"Jardim Sulacap, Rio de Janeiro, Brazil","Jardim Sulacap, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21741210, Brasil","(-22.8956799, -43.3929967, 0.0)",-22.8956799,-43.3929967,0.0,West,0
16,Glória,1183.0,87.3,99.4,95.4,94.0,"Glória, Rio de Janeiro, Brazil","Glória, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9183225, -43.1739232, 0.0)",-22.918322500000002,-43.173923200000004,0.0,Downtown,0
17,Méier,1000.0,87.3,99.3,92.6,93.1,"Méier, Rio de Janeiro, Brazil","Méier, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9026425, -43.2817263, 0.0)",-22.9026425,-43.281726299999995,0.0,North,0
19, Alto da Boa Vista,1204.0,83.39999999999998,98.7,95.7,92.6," Alto da Boa Vista, Rio de Janeiro, Brazil","Alto da Boa Vista, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20531-570, Brasil","(-22.9621126, -43.2535816, 0.0)",-22.9621126,-43.2535816,0.0,North,0
18,Tijuca,1204.0,83.39999999999998,98.7,95.7,92.6,"Tijuca, Rio de Janeiro, Brazil","Tijuca, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9332164, -43.2381453, 0.0)",-22.9332164,-43.2381453,0.0,North,0
20,Todos os Santos,825.0,88.2,99.0,89.4,92.2,"Todos os Santos, Rio de Janeiro, Brazil","Todos os Santos, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.894563, -43.28506, 0.0)",-22.894563,-43.285059999999994,0.0,North,0
21,Anil,768.0,86.9,98.2,88.2,91.1,"Anil, Rio de Janeiro, Brazil","Anil, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22750-006, Brasil","(-22.9558133, -43.3384123, 0.0)",-22.9558133,-43.338412299999995,0.0,West,0
22,Vila da Penha,669.0,87.7,99.2,85.9,90.9,"Vila da Penha, Rio de Janeiro, Brazil","Vila da Penha, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8435065, -43.3100585, 0.0)",-22.8435065,-43.310058500000004,0.0,North,0
23,Andaraí,897.0,83.3,98.7,90.8,90.9,"Andaraí, Rio de Janeiro, Brazil","Andaraí, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9290845, -43.2534858, 0.0)",-22.929084500000002,-43.25348579999999,0.0,North,0
24,Riachuelo,715.0,85.7,98.9,87.0,90.5,"Riachuelo, Rio de Janeiro, Brazil","Riachuelo, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9026953, -43.255175, 0.0)",-22.9026953,-43.255175,0.0,North,0
25,Campinho,684.0,87.5,97.5,86.3,90.4,"Campinho, Rio de Janeiro, Brazil","Campinho, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21320-060, Brasil","(-22.8852187, -43.347738, 0.0)",-22.8852187,-43.347738,0.0,North,0
27,Moneró,730.0,85.7,98.1,87.3,90.4,"Moneró, Rio de Janeiro, Brazil","Moneró, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.7964947, -43.197406, 0.0)",-22.7964947,-43.197406,0.0,North,0
28, Portuguesa,730.0,85.7,98.1,87.3,90.4," Portuguesa, Rio de Janeiro, Brazil","Portuguesa, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21931-003, Brasil","(-22.7999597, -43.2068169, 0.0)",-22.7999597,-43.2068169,0.0,North,0
26, Vila Valqueire,684.0,87.5,97.5,86.3,90.4," Vila Valqueire, Rio de Janeiro, Brazil","Vila Valqueire, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8886093, -43.3657758, 0.0)",-22.8886093,-43.365775799999994,0.0,West,0
29,Catete,822.0,83.3,97.8,89.3,90.1,"Catete, Rio de Janeiro, Brazil","Catete, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9269199, -43.1802186, 0.0)",-22.926919899999998,-43.180218599999996,0.0,South,0
30,Vila Isabel,931.0,80.80000000000003,98.1,91.4,90.1,"Vila Isabel, Rio de Janeiro, Brazil","Vila Isabel, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9152219, -43.2472627, 0.0)",-22.9152219,-43.2472627,0.0,North,0
32,Pechincha,751.0,84.39999999999998,97.8,87.8,90.0,"Pechincha, Rio de Janeiro, Brazil","Pechincha, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.928988, -43.3534191, 0.0)",-22.928988,-43.353419099999996,0.0,West,0
31,Cachambi,709.0,84.5,98.8,86.8,90.0,"Cachambi, Rio de Janeiro, Brazil","Cachambi, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8897634, -43.2744953, 0.0)",-22.8897634,-43.2744953,0.0,North,0
33,Freguesia (Ilha),766.0,83.39999999999998,97.9,88.2,89.8,"Freguesia (Ilha), Rio de Janeiro, Brazil","Freguesia (Ilha), Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.7850602, -43.1694534, 0.0)",-22.7850602,-43.1694534,0.0,North,0
36,Centro,633.0,85.2,98.1,85.0,89.4,"Centro, Rio de Janeiro, Brazil","Centro, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9043934, -43.1830653, 0.0)",-22.904393399999996,-43.1830653,0.0,Downtown,0
38,Higienópolis,614.0,81.8,98.3,84.5,88.2,"Higienópolis, Rio de Janeiro, Brazil","Higienópolis, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21061-280, Brasil","(-22.873999, -43.2613682, 0.0)",-22.873998999999998,-43.2613682,0.0,North,0
39,Santa Teresa,701.0,81.8,95.0,86.7,87.8,"Santa Teresa, Rio de Janeiro, Brazil","Santa Teresa, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20240-193, Brasil","(-22.9213991, -43.1882138, 0.0)",-22.921399100000002,-43.1882138,0.0,Downtown,0
43,Taquara,544.0,85.3,95.1,82.39999999999998,87.6,"Taquara, Rio de Janeiro, Brazil","Taquara, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9218864, -43.384646, 0.0)",-22.921886399999998,-43.384646000000004,0.0,West,0
45,Vidigal,1131.0,76.9,90.5,94.6,87.3,"Vidigal, Rio de Janeiro, Brazil","Vidigal, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9952094, -43.2408556, 0.0)",-22.995209399999997,-43.2408556,0.0,South,0
64,Deodoro,462.0,81.0,96.3,79.7,85.6,"Deodoro, Rio de Janeiro, Brazil","Deodoro, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.851201, -43.3870315, 0.0)",-22.851201,-43.3870315,0.0,West,0
